OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-12-31,19,0,2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.99678,ACTUAL,5
2024-12-31,18,0,2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-8.65746,ACTUAL,5
2024-12-31,17,0,2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,206.73119,ACTUAL,5
2024-12-31,24,0,2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-8.03905,ACTUAL,5
2024-12-31,23,0,2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.98682,ACTUAL,5
2024-12-31,24,0,2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,3.70872,ACTUAL,6
2024-12-31,23,0,2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,8.04713,ACTUAL,6
2024-12-31,20,0,2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,32.64075,ACTUAL,6
2024-12-31,19,0,2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,45.26587,ACTUAL,6
2024-12-31,18,0,2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,63.78831,ACTUAL,6
2024-12-31,17,0,2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,57.55686,ACTUAL,6
2024-12-31,21,0,2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,27.94546,ACTUAL,6
2024-12-31,22,0,2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,11.55141,ACTUAL,6
2025-01-01,19,0,2025-01-02T02:00:00-00:00,2025-01-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1.01118,ACTUAL,7
2025-01-01,10,0,2025-01-01T17:00:00-00:00,2025-01-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,938.71465,ACTUAL,7
