PNODE_ID,TAC_AREA_NAME,UNMATCHED_REASON,TRADING_HUB,PNODE_ID_LOWER,PNODE_ID_STRIPPED,PNODE_ID_LEN
SWANSON_7_GNODE1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,swanson_7_gnode1,SWANSON_7_GNODE1,16
COACHELV_2_N101,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,coachelv_2_n101,COACHELV_2_N101,15
OBPR_GNODE014,IPCO,"in TAC map, not in hub map (load/intertie PNodes expected)",,obpr_gnode014,OBPR_GNODE014,13
PSWP_GNODESWP,IPCO,"in TAC map, not in hub map (load/intertie PNodes expected)",,pswp_gnodeswp,PSWP_GNODESWP,13
BADM_GNODEADM,IPCO,"in TAC map, not in hub map (load/intertie PNodes expected)",,badm_gnodeadm,BADM_GNODEADM,13
OC_GNODEGT6,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,oc_gnodegt6,OC_GNODEGT6,11
TEC_GNODEPV,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,tec_gnodepv,TEC_GNODEPV,11
SYLMARLA_2_N501,BCHA,"in TAC map, not in hub map (load/intertie PNodes expected)",,sylmarla_2_n501,SYLMARLA_2_N501,15
SYLMARDC_2_N501,BCHA,"in TAC map, not in hub map (load/intertie PNodes expected)",,sylmardc_2_n501,SYLMARDC_2_N501,15
OC_GNODEGT3,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,oc_gnodegt3,OC_GNODEGT3,11
CAM_GNODE1,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,cam_gnode1,CAM_GNODE1,10
JAY_GNODE1,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,jay_gnode1,JAY_GNODE1,10
WHT_GNODE2,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,wht_gnode2,WHT_GNODE2,10
MCC_GNODEPKR,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,mcc_gnodepkr,MCC_GNODEPKR,12
ROB_GNODET,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,rob_gnodet,ROB_GNODET,10
